Лемма	positive		negative		not positive	pos fraction		pos fraction without Moscow		mean pos percentage		mean neg percentage		pos neg ratio		percentage defect		rank defect	
рясно	248	248	15	15	135	94.30	94.30	96.50	96.50	0.02	0.04	0.01	0.00	1.57	65.52	0.25	0.00	0.67	0.00
Невинка	20	20	49	48	39	28.99	29.41	51.28	52.63	0.28	0.28	0.18	0.00	1.54	89.39	0.00	0.00	0.00	0.00
гранчак	90	90	9	9	88	90.91	90.91	96.77	96.77	0.02	0.02	0.01	0.00	1.53	23.97	0.00	0.00	0.00	0.00
газява	11	11	5	5	14	68.75	68.75	84.62	84.62	0.01	0.02	0.01	0.00	1.51	inf	0.36	0.00	0.25	0.00
мульда	9	9	63	62	72	12.50	12.68	20.93	21.43	0.14	0.14	0.09	0.02	1.50	5.99	0.00	0.00	0.00	0.00
свороток	136	136	131	131	136	50.94	50.94	63.26	63.26	0.27	0.27	0.18	0.03	1.50	8.60	0.00	0.00	0.00	0.00
тремпель	77	77	83	83	195	48.12	48.12	52.38	52.38	0.16	0.16	0.11	0.07	1.48	2.19	0.16	0.16	0.33	0.22
шуфлядка	56	56	50	50	215	52.83	52.83	68.29	68.29	0.09	0.09	0.06	0.05	1.46	1.85	0.11	0.11	0.25	0.25
мамбет	43	42	51	51	153	45.74	45.16	60.56	60.00	0.23	0.31	0.16	0.06	1.44	5.19	0.18	0.00	0.25	0.00
альтфатер	15	15	42	42	90	26.32	26.32	38.46	38.46	0.07	0.07	0.05	0.01	1.40	7.01	0.00	0.00	0.00	0.00
манты	306	305	12	12	254	96.23	96.21	93.88	93.85	0.03	0.03	0.01	0.02	5.02	1.37	0.16	0.42	0.03	0.09
култук	224	224	301	300	310	42.67	42.75	58.03	58.18	0.62	1.48	0.47	0.83	1.32	1.77	0.32	0.00	0.56	0.00
Новочек	39	39	43	43	75	47.56	47.56	53.42	53.42	0.17	0.17	0.13	0.13	1.32	1.32	0.00	0.00	0.00	0.00
фазанка	23	23	19	18	35	54.76	56.10	71.88	74.19	0.02	0.02	0.02	0.00	1.28	22.07	0.39	0.00	0.25	0.00
хапун	31	31	47	47	233	39.74	39.74	50.82	50.82	0.08	0.08	0.06	0.02	1.27	3.14	0.00	0.00	0.00	0.00
толчёнка	28	28	33	33	44	45.90	45.90	59.57	59.57	0.04	0.02	0.01	0.02	4.78	1.20	0.11	0.44	0.16	0.50
хохоряшки	31	31	37	37	36	45.59	45.59	62.00	62.00	0.03	0.05	0.03	0.00	1.19	24.27	0.30	0.00	0.40	0.00
спадывать	31	31	28	28	63	52.54	52.54	57.41	57.41	0.03	0.03	0.03	0.00	1.18	55.28	0.19	0.00	0.56	0.00
шихан	291	291	766	765	864	27.53	27.56	33.26	33.30	0.78	0.78	0.70	0.70	1.12	1.12	0.31	0.31	0.50	0.50
винарка	8	8	3	3	6	72.73	72.73	88.89	88.89	0.03	0.03	0.03	0.00	1.12	inf	0.00	0.00	0.00	0.00
Симфер	335	335	116	116	299	74.28	74.28	90.54	90.54	0.06	0.06	0.05	0.01	1.11	6.61	0.00	0.00	0.00	0.00
кралька	8	8	4	4	58	66.67	66.67	66.67	66.67	0.01	0.01	0.01	0.00	1.09	inf	0.16	0.00	0.50	0.00
пастик	9	9	16	16	49	36.00	36.00	50.00	50.00	0.06	0.11	0.06	0.00	1.07	129.88	0.42	0.00	0.25	0.00
