Лемма	positive		negative		not positive	pos fraction		pos fraction without Moscow		mean pos percentage		mean neg percentage		pos neg ratio		percentage defect		rank defect	
догонялки	64	64	2696	2679	2525	2.32	2.33	3.75	3.79	0.11	0.20	2.02	0.27	0.06	0.74	0.94	0.26	1.00	1.00
чинарик	59	59	119	119	164	33.15	33.15	0.00	0.00	0.01	0.01	0.14	0.14	0.04	0.04	0.96	0.96	1.00	1.00
мобиль	19	19	2051	2034	1898	0.92	0.93	1.80	1.83	0.13	0.13	3.19	0.41	0.04	0.32	0.96	0.68	1.00	1.00
копач	5	5	194	189	252	2.51	2.58	2.92	3.01	0.02	0.02	1.19	1.19	0.02	0.02	0.98	0.98	1.00	1.00
красовский	22	22	1232	1232	1090	1.75	1.75	3.35	3.35	0.01	0.01	2.30	2.30	0.00	0.00	1.00	1.00	1.00	1.00
автолайн	12	12	338	337	409	3.43	3.44	7.19	7.23	0.01	0.00	0.27	0.38	0.03	0.00	0.97	1.00	1.00	1.00
чухать	0	0	473	469	405	0.00	0.00	0.00	0.00	0.00	0.00	0.23	0.12	0.00	0.00	0.00	0.00	1.00	1.00
дерибас	0	0	195	195	154	0.00	0.00	0.00	0.00	0.00	0.00	0.15	0.15	0.00	0.00	0.00	0.00	1.00	1.00
берик	1	1	168	165	190	0.59	0.60	0.71	0.72	0.01	0.00	1.44	0.37	0.00	0.00	1.00	0.00	1.00	1.00
ульяновка	1	1	219	216	177	0.45	0.46	0.55	0.56	0.02	0.00	0.25	0.15	0.06	0.00	0.94	0.00	1.00	1.00
кеч	0	0	284	281	189	0.00	0.00	0.00	0.00	0.00	0.00	1.26	1.26	0.00	0.00	0.00	0.00	1.00	1.00
долбан	0	0	320	317	380	0.00	0.00	0.00	0.00	0.00	0.00	0.15	0.03	0.00	0.00	0.00	0.00	1.00	1.00
домашники	2	2	280	277	161	0.71	0.72	2.35	2.44	0.07	0.00	0.20	0.02	0.34	0.00	0.66	0.00	1.00	1.00
гопа	3	3	1076	1068	1062	0.28	0.28	0.40	0.40	0.05	0.00	0.38	0.14	0.12	0.00	0.88	0.00	1.00	1.00
калега	0	0	230	229	540	0.00	0.00	0.00	0.00	0.00	0.00	0.41	0.41	0.00	0.00	0.00	0.00	1.00	1.00
голить	7	7	195	192	143	3.47	3.52	4.17	4.24	0.01	0.00	0.21	0.22	0.06	0.00	0.94	0.00	1.00	1.00
сотовик	2	2	209	208	401	0.95	0.95	1.72	1.74	0.01	0.00	0.12	0.05	0.04	0.00	0.96	0.00	1.00	1.00
