Author	Loc	Words count	Positive lemmas	Negative lemmas	Not positive lemmas	Positive occs	Negative occs	Not positive occs
193750203	NA	602	0	0	1	0	0	1
176259010	NA	602	0	0	1	0	0	1
129927098	Гомельская область	602	1	0	0	2	0	0
6298019	NA	602	0	0	1	0	0	1
122208157	Россия	602	0	0	1	0	0	1
173402454	Архангельская область	602	0	1	0	0	1	0
214341928	NA	602	0	0	1	0	0	1
178454678	NA	602	0	0	1	0	0	1
166280116	Кировоградская область	602	0	1	0	0	1	0
249019055	Россия	602	0	0	1	0	0	1
122249786	Россия	602	0	0	1	0	0	1
944015	Россия	602	0	0	1	0	0	1
235930148	NA	602	0	0	1	0	0	1
142197256	NA	602	0	0	1	0	0	1
221030163	Украина	602	0	1	0	0	1	0
69386171	Россия	602	0	0	1	0	0	1
96621308	Московская область	601	0	1	0	0	1	0
143200977	Краснодарский край	601	0	1	0	0	1	0
9280570	Киев	601	1	0	0	1	0	0
179371610	Северная Осетия	601	0	1	0	0	1	0
226338511	?Петропавловская область	601	0	1	0	0	1	0
170544777	Липецкая область	601	0	1	0	0	1	0
212059754	Россия	601	0	0	1	0	0	1
25499333	NA	601	0	0	1	0	0	1
25265679	Киев	601	1	0	0	1	0	0
174478021	NA	601	0	0	1	0	0	1
165270732	NA	601	0	0	1	0	0	1
138631498	NA	601	0	0	1	0	0	1
249492401	NA	601	0	0	1	0	0	1
9637257	Челябинская область	601	0	1	0	0	1	0
136706936	Москва	601	0	1	0	0	1	0
216870922	Россия	601	0	0	1	0	0	1
207387043	NA	601	0	0	1	0	0	2
219655464	Новосибирская область	601	1	0	0	1	0	0
202630364	Черновицкая область	601	0	1	0	0	2	0
4126094	Краснодарский край	601	0	1	0	0	1	0
17916058	Башкирия	601	0	1	0	0	2	0
7873854	Москва	601	1	0	0	1	0	0
56728512	Днепропетровская область	601	0	1	0	0	1	0
17801735	NA	601	0	0	1	0	0	1
214027278	Россия	601	0	0	1	0	0	1
1118190	Москва	601	0	1	0	0	1	0
44229937	NA	601	0	0	1	0	0	1
215871649	NA	601	0	0	1	0	0	1
192553558	Марий Эл	601	1	0	0	1	0	0
94225100	Крым	600	0	1	0	0	1	0
25045226	Львовская область	600	0	1	0	0	1	0
191196180	NA	600	0	0	1	0	0	2
227596061	Иркутская область	600	0	1	0	0	2	0
151756461	Россия	600	0	0	1	0	0	1
184332787	Россия	600	0	0	1	0	0	1
127181180	Черниговская область	600	1	0	0	1	0	0
224178818	Республика Алтай	600	0	1	0	0	1	0
15911184	Черкасская область	600	1	0	0	1	0	0
