Лемма	positive		negative		not positive	pos fraction		pos fraction without Moscow		mean pos percentage		mean neg percentage		pos neg ratio		percentage defect		rank defect	
тютина	1	1	55	55	35	1.79	1.79	2.04	2.04	0.00	0.00	1.18	0.01	0.00	0.00	1.00	0.00	1.00	1.00
крутка	0	0	249	249	128	0.00	0.00	0.00	0.00	0.00	0.00	0.11	0.11	0.00	0.00	0.00	0.00	1.00	1.00
жамка	6	6	318	318	334	1.85	1.85	2.08	2.08	0.03	0.00	0.50	0.05	0.06	0.00	0.94	0.00	1.00	1.00
долбан	0	0	136	136	114	0.00	0.00	0.00	0.00	0.00	0.00	0.11	0.03	0.00	0.00	0.00	0.00	1.00	1.00
бадлон	0	0	17	17	57	0.00	0.00	0.00	0.00	0.00	0.00	0.03	0.00	0.00	0.00	0.00	0.00	1.00	1.00
кукси	1	1	37	37	38	2.63	2.63	2.78	2.78	0.08	0.00	0.07	0.07	1.11	0.00	0.00	0.00	0.00	1.00
кура	3	3	46	46	47	6.12	6.12	7.50	7.50	0.01	0.00	0.11	0.00	0.13	0.00	0.87	0.00	1.00	1.00
кукса	2	2	94	94	52	2.08	2.08	2.53	2.53	0.11	0.00	0.22	0.02	0.48	0.00	0.52	0.00	1.00	1.00
чухать	0	0	98	98	84	0.00	0.00	0.00	0.00	0.00	0.00	0.05	0.03	0.00	0.00	0.00	0.00	1.00	1.00
копач	1	1	68	68	51	1.45	1.45	1.72	1.72	0.00	0.00	0.05	0.01	0.06	0.00	0.94	0.00	1.00	1.00
голить	4	4	77	77	30	4.94	4.94	5.06	5.06	0.01	0.00	0.05	0.06	0.29	0.00	0.71	0.00	1.00	1.00
хабарь	1	1	67	67	35	1.47	1.47	1.52	1.52	0.00	0.00	0.08	0.02	0.04	0.00	0.96	0.00	1.00	1.00
латка	0	0	247	247	161	0.00	0.00	0.00	0.00	0.00	0.00	0.65	0.04	0.00	0.00	0.00	0.00	1.00	1.00
схилять	2	2	26	26	36	7.14	7.14	7.14	7.14	0.01	0.00	0.07	0.07	0.08	0.00	0.92	0.00	1.00	1.00
