Лемма	positive		negative		not positive	pos fraction		pos fraction without Moscow		mean pos percentage		mean neg percentage		pos neg ratio		percentage defect		rank defect	
толока	83	83	9	9	29	90.22	90.22	95.40	95.40	0.01	0.01	0.01	0.00	1.07	3.89	0.29	0.00	0.50	0.00
подклад	302	302	318	318	304	48.71	48.71	53.08	53.08	0.08	0.09	0.08	0.05	1.07	1.70	0.28	0.12	0.48	0.22
брежневка	24	24	14	14	23	63.16	63.16	68.57	68.57	0.02	0.02	0.02	0.00	0.98	inf	0.44	0.00	0.37	0.00
мамбетский	30	30	1	1	26	96.77	96.77	96.77	96.77	0.02	0.04	0.03	0.00	0.89	inf	0.46	0.00	0.50	0.00
ботсад	173	173	85	85	117	67.05	67.05	62.22	62.22	0.04	0.07	0.05	0.06	0.88	1.19	0.43	0.34	0.73	0.56
Стерлик	9	9	7	7	7	56.25	56.25	64.29	64.29	0.02	0.02	0.03	0.00	0.88	inf	0.12	0.00	1.00	0.00
Зелик	10	10	45	45	29	18.18	18.18	29.41	29.41	0.05	0.09	0.06	0.01	0.82	8.44	0.42	0.00	0.50	0.00
потеряшка	110	110	361	361	313	23.35	23.35	26.76	26.76	0.07	0.07	0.08	0.09	0.87	0.81	0.33	0.36	0.61	0.67
отворотка	7	7	4	4	6	63.64	63.64	63.64	63.64	0.02	0.04	0.03	0.00	0.77	inf	0.50	0.00	0.33	0.00
гембель	7	7	20	20	30	25.93	25.93	33.33	33.33	0.02	0.02	0.03	0.00	0.76	8.13	0.24	0.00	1.00	0.00
сталинка	126	126	76	76	156	62.38	62.38	75.45	75.45	0.02	0.02	0.03	0.01	0.73	1.56	0.47	0.18	0.41	0.28
сродный	28	28	194	194	181	12.61	12.61	13.93	13.93	0.04	0.03	0.06	0.04	0.72	0.83	0.39	0.32	0.72	0.67
Новоросс	33	33	112	112	62	22.76	22.76	27.50	27.50	0.06	0.11	0.08	0.06	0.72	1.96	0.45	0.00	0.75	0.00
пайта	29	29	34	34	46	46.03	46.03	46.77	46.77	0.05	0.05	0.07	0.01	0.71	6.05	0.39	0.00	0.50	0.00
Челяба	92	92	89	89	131	50.83	50.83	58.23	58.23	0.10	0.14	0.14	0.02	0.70	8.54	0.50	0.00	0.67	0.00
политсила	124	124	30	30	45	80.52	80.52	88.57	88.57	0.02	0.02	0.02	0.01	0.65	2.13	0.35	0.00	1.00	0.00
реготать	49	49	4	4	23	92.45	92.45	96.08	96.08	0.00	0.01	0.01	0.00	0.64	inf	0.36	0.00	1.00	0.00
сотовый	635	635	5511	5511	5026	10.33	10.33	11.85	11.85	0.51	0.51	0.83	0.73	0.61	0.70	0.43	0.36	0.81	0.75
яйла	18	18	24	24	34	42.86	42.86	51.43	51.43	0.08	0.08	0.13	0.01	0.59	10.91	0.41	0.00	1.00	0.00
улка	24	24	78	78	53	23.53	23.53	26.09	26.09	0.03	0.02	0.05	0.04	0.60	0.53	0.48	0.47	0.83	1.00
гирло	66	66	8	8	35	89.19	89.19	94.29	94.29	0.01	0.01	0.01	0.00	0.51	inf	0.56	0.00	0.44	0.00
Кривбасс	100	100	8	8	34	92.59	92.59	93.46	93.46	0.01	0.01	0.03	0.00	0.48	inf	0.52	0.00	1.00	0.00
шихан	24	24	55	55	59	30.38	30.38	35.29	35.29	0.03	0.03	0.07	0.00	0.47	7.00	0.53	0.00	1.00	0.00
выпадывать	14	14	15	15	19	48.28	48.28	53.85	53.85	0.02	0.02	0.04	0.00	0.47	inf	0.54	0.00	0.75	0.00
греча	43	43	1966	1966	1903	2.14	2.14	2.55	2.55	0.21	0.23	0.46	0.35	0.46	0.67	0.54	0.39	0.96	0.69
перваш	8	8	9	9	8	47.06	47.06	50.00	50.00	0.01	0.01	0.01	0.00	0.44	inf	0.56	0.00	1.00	0.00
селюк	410	410	46	46	205	89.91	89.91	92.34	92.34	0.05	0.05	0.12	0.01	0.40	8.21	0.60	0.00	1.00	0.00
поварёшка	52	52	199	199	259	20.72	20.72	23.96	23.96	0.03	0.03	0.07	0.05	0.38	0.52	0.63	0.48	0.93	1.00
наливайка	71	71	25	25	44	73.96	73.96	76.34	76.34	0.02	0.01	0.05	0.00	0.37	19.62	0.65	0.00	0.67	0.00
горпарк	11	11	17	17	12	39.29	39.29	40.74	40.74	0.04	0.04	0.10	0.10	0.36	0.36	0.64	0.64	1.00	1.00
занос	198	198	1112	1112	1154	15.11	15.11	0.00	0.00	0.10	0.10	0.31	0.22	0.33	0.47	0.67	0.53	1.00	1.00
тям	18	18	13	13	14	58.06	58.06	75.00	75.00	0.01	0.00	0.01	0.00	1.31	0.31	0.28	0.69	0.44	1.00
Ирк	16	16	13	13	28	55.17	55.17	59.26	59.26	0.00	0.00	0.02	0.00	0.28	inf	0.72	0.00	1.00	0.00
кубло	102	102	62	62	132	62.20	62.20	69.86	69.86	0.02	0.01	0.06	0.01	0.28	1.15	0.74	0.00	0.86	0.00
парафия	17	17	5	5	15	77.27	77.27	94.44	94.44	0.00	0.00	0.01	0.00	0.25	inf	0.75	0.00	1.00	0.00
гранчак	6	6	2	2	4	75.00	75.00	85.71	85.71	0.00	0.00	0.00	0.00	0.24	inf	0.76	0.00	1.00	0.00
сотик	55	55	111	111	117	33.13	33.13	35.71	35.71	0.02	0.02	0.05	0.11	0.43	0.22	0.61	0.78	0.80	1.00
батониться	11	11	6	6	10	64.71	64.71	78.57	78.57	0.02	0.02	0.08	0.00	0.21	inf	0.82	0.00	0.24	0.00
матный	53	53	827	827	808	6.02	6.02	6.85	6.85	0.06	0.06	0.28	0.20	0.21	0.29	0.79	0.71	1.00	1.00
мобилка	361	361	548	548	744	39.71	39.71	45.70	45.70	0.04	0.04	0.22	0.21	0.20	0.21	0.80	0.79	1.00	1.00
таксофирма	6	6	2	2	3	75.00	75.00	85.71	85.71	0.00	0.00	0.00	0.00	0.19	inf	0.81	0.00	1.00	0.00
обменка	94	94	82	82	92	53.41	53.41	60.26	60.26	0.01	0.01	0.06	0.02	0.18	0.59	0.82	0.41	1.00	1.00
стёрка	64	64	106	106	154	37.65	37.65	42.67	42.67	0.01	0.01	0.08	0.02	0.18	0.66	0.82	0.46	1.00	0.75
