Лемма						
мамбетизм	inf	0.00	0.00	inf	0.00	0.00
мамбетка	inf	0.00	0.00	inf	0.00	0.00
мамбетский	inf	0.00	0.00	inf	0.00	0.00
мантоварка	0.00	0.00	1.00	0.00	0.00	1.00
манты	inf	0.00	0.00	inf	0.00	0.00
мантышница	0.00	0.00	1.00	0.00	0.00	1.00
мастерка	0.00	0.00	1.00	0.00	0.00	1.00
материковский	0.00	0.00	1.00	0.00	0.00	1.00
матиться	0.00	0.00	1.00	0.00	0.00	1.00
матный	0.29	0.71	1.00	0.16	0.84	1.00
местовое	0.00	0.00	1.00	0.00	0.00	1.00
метельщик	0.00	0.00	1.00	0.00	0.00	1.00
метельщица	0.00	0.00	1.00	0.00	0.00	1.00
мещер	0.00	0.00	1.00	0.00	0.00	1.00
мивина	18.50	0.00	0.00	21.39	0.00	0.00
микраш	0.00	0.00	1.00	0.00	0.00	1.00
микрик	173.83	0.00	0.00	269.26	0.00	0.00
многоквартирник	0.00	0.00	1.00	0.00	0.00	1.00
мобилка	0.21	0.79	1.00	0.16	0.84	1.00
мобиль	0.00	0.00	1.00	0.00	0.00	1.00
молзавод	0.00	0.00	1.00	0.00	0.00	1.00
молодожёнка	0.00	0.00	1.00	0.00	0.00	1.00
муль	0.00	0.00	1.00	0.00	0.00	1.00
мульда	0.00	0.00	1.00	0.00	0.00	1.00
мультифор	0.00	0.00	1.00	0.00	0.00	1.00
мультифора	0.00	0.00	1.00	0.00	0.00	1.00
мультифорка	0.00	0.00	1.00	0.00	0.00	1.00
муляка	inf	0.00	0.00	inf	0.00	0.00
мырк	0.00	0.00	1.00	0.00	0.00	1.00
надурняк	0.00	0.00	1.00	0.00	0.00	1.00
наливайка	19.62	0.00	0.00	18.28	0.00	0.00
насаться	inf	0.00	0.00	inf	0.00	0.00
наявность	inf	0.00	0.00	inf	0.00	0.00
Невинка	inf	0.00	0.00	inf	0.00	0.00
неудобица	0.00	0.00	1.00	0.00	0.00	1.00
Новорос	inf	0.00	0.00	inf	0.00	0.00
Новоросс	1.96	0.00	0.00	2.37	0.00	0.00
Новосиб	2.26	0.14	0.22	1.60	0.24	0.31
новостийный	1.23	0.00	0.00	0.14	0.86	1.00
Новочек	inf	0.00	0.00	inf	0.00	0.00
Новчик	inf	0.00	0.00	inf	0.00	0.00
обменка	0.59	0.41	1.00	0.26	0.74	1.00
обменник	0.12	0.88	1.00	0.18	0.82	1.00
одикнуть	0.00	0.00	1.00	0.00	0.00	1.00
однёрка	0.00	0.00	1.00	0.00	0.00	1.00
однёшка	inf	0.00	0.00	inf	0.00	0.00
одоробла	0.00	0.00	1.00	0.00	0.00	1.00
одоробло	inf	0.00	0.00	inf	0.00	0.00
одяжка	0.00	0.00	1.00	0.00	0.00	1.00
окараться	0.00	0.00	1.00	0.00	0.00	1.00
опанелка	0.00	0.00	1.00	0.00	0.00	1.00
оптарь	0.00	0.00	1.00	0.00	0.00	1.00
Орен	5.30	0.00	0.00	7.06	0.00	0.00
оренский	0.00	0.00	1.00	0.00	0.00	1.00
отворотка	inf	0.00	0.00	inf	0.00	0.00
открывачка	inf	0.00	0.00	inf	0.00	0.00
отпадывать	0.00	0.00	1.00	0.00	0.00	1.00
пайта	6.05	0.00	0.00	4.76	0.00	0.00
парафия	inf	0.00	0.00	inf	0.00	0.00
парма	2.41	0.00	0.00	2.76	0.00	0.00
паровать	0.00	0.00	1.00	0.00	0.00	1.00
пасочка	3.54	0.00	0.00	1.21	0.28	0.33
пастик	0.00	0.00	1.00	0.00	0.00	1.00
перваш	inf	0.00	0.00	inf	0.00	0.00
перебуробить	0.00	0.00	1.00	0.00	0.00	1.00
перекид	0.00	0.00	1.00	0.00	0.00	1.00
перетяг	0.00	0.00	1.00	0.00	0.00	1.00
пиджачка	0.00	0.00	1.00	0.00	0.00	1.00
пиджачник	0.00	0.00	1.00	0.00	0.00	1.00
пиндитный	0.00	0.00	1.00	0.00	0.00	1.00
поварёшка	0.52	0.48	1.00	0.73	0.34	0.75
повешать	19.82	0.00	0.00	22.23	0.00	0.00
повешаться	12.40	0.00	0.00	25.85	0.00	0.00
подглазины	0.00	0.00	1.00	0.00	0.00	1.00
подклад	1.70	0.12	0.22	1.74	0.09	0.19
позная	84.72	0.00	0.00	103.00	0.00	0.00
политпроект	0.00	0.00	1.00	0.00	0.00	1.00
политсила	2.13	0.00	0.00	2.58	0.00	0.00
полоротство	0.00	0.00	1.00	0.00	0.00	1.00
полоротый	0.00	0.00	1.00	0.00	0.00	1.00
полторачка	0.00	0.00	1.00	0.00	0.00	1.00
полторушка	inf	0.00	0.00	inf	0.00	0.00
полублаг	0.00	0.00	1.00	0.00	0.00	1.00
полублагоустроенный	0.00	0.00	1.00	0.00	0.00	1.00
полярка	0.00	0.00	1.00	0.00	0.00	1.00
помогайка	0.00	0.00	1.00	0.00	0.00	1.00
порато	0.00	0.00	1.00	0.00	0.00	1.00
поребрик	0.15	0.85	1.00	0.14	0.86	1.00
потеряшка	0.81	0.36	0.67	0.80	0.35	0.72
похожать	0.00	0.00	1.00	0.00	0.00	1.00
притёс	0.00	0.00	1.00	0.00	0.00	1.00
прометейка	0.00	0.00	1.00	0.00	0.00	1.00
прохилять	0.00	0.00	1.00	0.00	0.00	1.00
пухто	0.00	0.00	1.00	0.00	0.00	1.00
пятнашки	0.00	0.00	1.00	0.00	0.00	1.00
районский	0.00	0.00	1.00	0.00	0.00	1.00
ракушняк	inf	0.00	0.00	1.10	0.00	0.00
ранешний	0.00	0.00	1.00	0.00	0.00	1.00
ранешный	0.00	0.00	1.00	0.00	0.00	1.00
расколотка	0.00	0.00	1.00	0.00	0.00	1.00
растренькать	0.00	0.00	1.00	0.00	0.00	1.00
растрынькать	inf	0.00	0.00	inf	0.00	0.00
растыка	0.00	0.00	1.00	0.00	0.00	1.00
растягай	0.00	0.00	1.00	0.00	0.00	1.00
реготать	inf	0.00	0.00	inf	0.00	0.00
ремок	0.00	0.00	1.00	0.00	0.00	1.00
рипус	0.00	0.00	1.00	0.00	0.00	1.00
рогачка	0.00	0.00	1.00	0.00	0.00	1.00
родова	0.00	0.00	1.00	0.00	0.00	1.00
родовик	0.00	0.00	1.00	0.00	0.00	1.00
ругачка	0.06	0.94	1.00	0.07	0.93	1.00
