Лемма	positive		negative		not positive	pos fraction		pos fraction without Moscow		mean pos percentage		mean neg percentage		pos neg ratio		percentage defect		rank defect	
ляпки	3	3	24	24	24	11.11	11.11	13.04	13.04	0.03	0.00	0.26	0.00	0.12	0.00	0.88	0.00	1.00	1.00
родова	2	2	25	25	20	7.41	7.41	8.33	8.33	0.04	0.00	0.08	0.01	0.49	0.00	0.51	0.00	1.00	1.00
араз	0	0	30	30	21	0.00	0.00	0.00	0.00	0.00	0.00	0.11	0.03	0.00	0.00	0.00	0.00	1.00	1.00
ругачка	6	6	32	32	24	15.79	15.79	20.00	20.00	0.01	0.00	0.20	0.05	0.04	0.00	0.96	0.00	1.00	1.00
красовский	3	3	66	66	54	4.35	4.35	6.12	6.12	0.00	0.00	0.43	0.03	0.01	0.00	0.99	0.00	1.00	1.00
жамка	6	6	315	315	333	1.87	1.87	2.10	2.10	0.11	0.00	1.85	0.17	0.06	0.00	0.94	0.00	1.00	1.00
берик	1	1	37	37	24	2.63	2.63	2.86	2.86	0.01	0.00	0.20	0.14	0.06	0.00	0.94	0.00	1.00	1.00
дикорос	4	4	42	42	20	8.70	8.70	9.52	9.52	0.05	0.00	0.23	0.00	0.19	0.00	0.81	0.00	1.00	1.00
рыпа	0	0	218	218	180	0.00	0.00	0.00	0.00	0.00	0.00	0.98	0.98	0.00	0.00	0.00	0.00	1.00	1.00
дерибас	1	1	30	30	14	3.23	3.23	3.85	3.85	0.05	0.00	0.11	0.07	0.43	0.00	0.57	0.00	1.00	1.00
тютина	1	1	41	40	24	2.38	2.44	2.63	2.70	0.02	0.00	3.23	0.02	0.00	0.00	1.00	0.00	1.00	1.00
голить	2	2	46	46	11	4.17	4.17	4.35	4.35	0.05	0.00	0.17	0.18	0.30	0.00	0.70	0.00	1.00	1.00
кукса	2	2	71	71	37	2.74	2.74	3.39	3.39	0.42	0.00	0.68	0.05	0.62	0.00	0.38	0.00	1.00	1.00
Зелик	4	4	29	29	19	12.12	12.12	16.67	16.67	0.05	0.00	0.13	0.02	0.41	0.00	0.59	0.00	1.00	1.00
сморода	1	1	27	27	15	3.57	3.57	3.70	3.70	0.07	0.00	0.09	0.01	0.80	0.00	0.20	0.00	1.00	1.00
локер	0	0	19	19	19	0.00	0.00	0.00	0.00	0.00	0.00	0.13	0.01	0.00	0.00	0.00	0.00	1.00	1.00
чухать	0	0	68	68	38	0.00	0.00	0.00	0.00	0.00	0.00	0.17	0.05	0.00	0.00	0.00	0.00	1.00	1.00
гопа	2	2	82	82	45	2.38	2.38	2.82	2.82	0.07	0.00	0.15	0.08	0.43	0.00	0.57	0.00	1.00	1.00
хилять	1	1	24	24	27	4.00	4.00	4.35	4.35	0.24	0.00	0.16	0.00	1.55	0.00	0.00	0.00	0.00	1.00
калать	0	0	119	119	56	0.00	0.00	0.00	0.00	0.00	0.00	0.51	0.51	0.00	0.00	0.00	0.00	1.00	1.00
повешаться	24	24	23	23	35	51.06	51.06	57.14	57.14	0.05	0.00	0.04	0.01	1.22	0.00	0.27	0.00	0.37	1.00
ульяновка	2	2	113	113	118	1.74	1.74	2.02	2.02	0.07	0.00	0.15	0.08	0.43	0.00	0.57	0.00	1.00	1.00
Крас	1	1	30	30	17	3.23	3.23	4.17	4.17	0.02	0.00	0.15	0.01	0.11	0.00	0.89	0.00	1.00	1.00
