Лемма	positive		negative		not positive	pos fraction		pos fraction without Moscow		mean pos percentage		mean neg percentage		pos neg ratio		percentage defect		rank defect	
пиджачка	0	0	51	51	16	0.00	0.00	0.00	0.00	0.00	0.00	0.09	0.00	0.00	0.00	0.00	0.00	1.00	1.00
кукси	0	0	28	28	24	0.00	0.00	0.00	0.00	0.00	0.00	0.11	0.11	0.00	0.00	0.00	0.00	1.00	1.00
кеч	0	0	33	33	36	0.00	0.00	0.00	0.00	0.00	0.00	0.39	0.05	0.00	0.00	0.00	0.00	1.00	1.00
дирик	0	0	28	28	31	0.00	0.00	0.00	0.00	0.00	0.00	0.04	0.02	0.00	0.00	0.00	0.00	1.00	1.00
Крас	1	1	32	32	18	3.03	3.03	3.85	3.85	0.01	0.00	0.08	0.00	0.11	0.00	0.89	0.00	1.00	1.00
кукса	4	4	73	73	39	5.19	5.19	6.35	6.35	0.44	0.00	0.29	0.02	1.52	0.00	0.00	0.00	0.00	1.00
дикорос	5	5	83	83	43	5.68	5.68	6.02	6.02	0.03	0.00	0.22	0.28	0.13	0.00	0.87	0.00	1.00	1.00
хилять	3	3	31	31	37	8.82	8.82	9.38	9.38	0.26	0.00	0.11	0.00	2.40	0.00	0.00	0.00	0.00	1.00
бадлон	0	0	14	14	45	0.00	0.00	0.00	0.00	0.00	0.00	0.09	0.00	0.00	0.00	0.00	0.00	1.00	1.00
голить	2	2	49	49	12	3.92	3.92	4.17	4.17	0.03	0.00	0.10	0.13	0.29	0.00	0.71	0.00	1.00	1.00
ругачка	6	6	32	32	24	15.79	15.79	20.00	20.00	0.00	0.00	0.12	0.03	0.04	0.00	0.96	0.00	1.00	1.00
гопа	2	2	98	98	51	2.00	2.00	2.35	2.35	0.03	0.00	0.10	0.04	0.27	0.00	0.73	0.00	1.00	1.00
ляпки	3	3	24	24	26	11.11	11.11	13.04	13.04	0.01	0.00	0.14	0.00	0.09	0.00	0.91	0.00	1.00	1.00
крутка	0	0	252	252	141	0.00	0.00	0.00	0.00	0.00	0.00	0.21	0.17	0.00	0.00	0.00	0.00	1.00	1.00
пятнашки	0	0	124	124	114	0.00	0.00	0.00	0.00	0.00	0.00	0.34	0.04	0.00	0.00	0.00	0.00	1.00	1.00
локер	0	0	23	23	29	0.00	0.00	0.00	0.00	0.00	0.00	0.17	0.01	0.00	0.00	0.00	0.00	1.00	1.00
ульяновка	2	2	123	123	122	1.60	1.60	1.85	1.85	0.03	0.00	0.11	0.04	0.23	0.00	0.77	0.00	1.00	1.00
берик	1	1	60	60	29	1.64	1.64	1.75	1.75	0.01	0.00	0.12	0.12	0.05	0.00	0.95	0.00	1.00	1.00
долбан	0	0	93	93	61	0.00	0.00	0.00	0.00	0.00	0.00	0.11	0.03	0.00	0.00	0.00	0.00	1.00	1.00
Зелик	6	6	32	32	19	15.79	15.79	22.22	22.22	0.03	0.00	0.06	0.01	0.54	0.00	0.46	0.00	1.00	1.00
сморода	1	1	37	37	20	2.63	2.63	2.70	2.70	0.04	0.00	0.10	0.10	0.43	0.00	0.57	0.00	1.00	1.00
дерибас	2	2	34	34	16	5.56	5.56	6.45	6.45	0.04	0.00	0.13	0.13	0.30	0.00	0.70	0.00	1.00	1.00
схилять	3	3	23	23	24	11.54	11.54	11.54	11.54	0.01	0.00	0.15	0.15	0.09	0.00	0.91	0.00	1.00	1.00
тютина	1	1	44	43	29	2.22	2.27	2.44	2.50	0.01	0.00	1.11	0.01	0.01	0.00	0.99	0.00	1.00	1.00
калать	0	0	188	188	98	0.00	0.00	0.00	0.00	0.00	0.00	0.44	0.44	0.00	0.00	0.00	0.00	1.00	1.00
жамка	6	6	315	315	334	1.87	1.87	2.10	2.10	0.06	0.00	1.11	0.09	0.05	0.00	0.95	0.00	1.00	1.00
рыпа	0	0	266	266	191	0.00	0.00	0.00	0.00	0.00	0.00	0.64	0.64	0.00	0.00	0.00	0.00	1.00	1.00
латка	0	0	182	182	120	0.00	0.00	0.00	0.00	0.00	0.00	0.67	0.07	0.00	0.00	0.00	0.00	1.00	1.00
хабарь	1	1	50	50	20	1.96	1.96	2.00	2.00	0.01	0.00	0.15	0.01	0.04	0.00	0.96	0.00	1.00	1.00
