Author	Loc	Words count	Positive lemmas	Negative lemmas	Not positive lemmas	Positive occs	Negative occs	Not positive occs
55641638	Россия	1229	0	0	1	0	0	2
139966059	Самарская область	1229	1	0	0	1	0	0
215055893	Россия	1229	0	0	1	0	0	1
171121845	Украина	1229	0	1	0	0	1	0
219230157	Россия	1229	0	0	1	0	0	2
43256263	Израиль	1228	0	0	1	0	0	1
137553345	Россия	1228	0	0	1	0	0	2
133122017	Россия	1228	0	0	1	0	0	1
168617955	Россия	1228	0	0	1	0	0	1
139597011	NA	1228	0	0	1	0	0	1
213107690	Казахстан	1228	1	0	0	1	0	0
156933804	NA	1228	0	0	1	0	0	1
206063485	Ханты-Мансийский АО	1228	0	1	0	0	1	0
206875878	Москва	1227	0	1	0	0	1	0
169377815	Черниговская область	1227	0	1	0	0	1	0
90057198	NA	1227	0	0	1	0	0	1
158132029	Россия	1227	0	0	1	0	0	1
4599135	Свердловская область	1227	1	0	0	1	0	0
10150613	Свердловская область	1227	1	0	0	1	0	0
191649797	NA	1227	0	0	1	0	0	2
41387165	Россия	1227	0	0	1	0	0	1
314663	NA	1227	0	0	1	0	0	1
228804174	NA	1227	0	0	1	0	0	1
159328278	Башкирия	1227	0	1	0	0	1	0
239157336	Москва	1227	0	1	0	0	1	0
223421655	Казахстан	1226	1	0	0	1	0	0
242929399	NA	1226	0	0	1	0	0	1
55311	Москва	1226	0	1	0	0	1	0
176708196	NA	1226	0	0	1	0	0	1
156591399	NA	1226	0	0	1	0	0	1
22508063	Свердловская область	1226	0	1	0	0	1	0
152480041	Россия	1226	0	0	1	0	0	1
2449060	Москва	1226	1	0	0	1	0	0
39144908	NA	1226	0	0	1	0	0	1
248902115	NA	1225	0	0	1	0	0	1
21102670	Архангельская область	1225	0	1	0	0	1	0
241415120	NA	1225	0	0	1	0	0	1
229530359	Ростовская область	1225	0	1	0	0	1	0
232278861	Краснодарский край	1225	1	0	0	1	0	0
191837003	NA	1225	0	0	1	0	0	2
132179863	Одесская область	1225	0	1	0	0	2	0
78094254	Казахстан	1225	1	0	0	1	0	0
180621581	Россия	1224	0	0	1	0	0	1
33074013	Ростовская область	1224	0	1	0	0	1	0
139245562	NA	1224	0	0	1	0	0	2
52207114	NA	1224	0	0	1	0	0	1
2042604	Коми	1224	0	1	0	0	1	0
1629172	Москва	1224	0	1	0	0	1	0
230936896	NA	1224	0	0	1	0	0	1
249908473	Кемеровская область	1224	1	0	0	1	0	0
108089770	NA	1223	0	0	1	0	0	1
19170989	Москва	1223	0	1	0	0	1	0
181880610	Казахстан	1223	0	1	0	0	1	0
67958822	Узбекистан	1223	0	1	0	0	1	0
113700174	Ростовская область	1223	0	1	0	0	1	0
17321059	NA	1223	0	0	1	0	0	3
135702511	NA	1223	0	0	1	0	0	1
141752155	Россия	1223	0	0	1	0	0	1
13758831	Краснодарский край	1223	0	1	0	0	1	0
171155380	Оренбургская область	1222	0	1	0	0	1	0
196888991	Россия	1222	0	0	1	0	0	1
20716011	Москва	1222	0	1	0	0	1	0
140039315	Россия	1222	0	0	1	0	0	1
42172113	NA	1222	0	0	1	0	0	1
6399442	Омская область	1222	0	1	0	0	1	0
7767335	Украина	1222	1	0	0	1	0	0
