Лемма	positive		negative		not positive	pos fraction		pos fraction without Moscow		mean pos percentage		mean neg percentage		pos neg ratio		percentage defect		rank defect	
бозо	0	0	10	10	14	0.00	0.00	0.00	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.00	0.00	1.00	1.00
мультифорка	1	1	2	2	0	33.33	33.33	50.00	50.00	0.01	0.00	0.14	0.00	0.10	0.00	0.90	0.00	1.00	1.00
перваш	4	4	7	7	2	36.36	36.36	40.00	40.00	0.02	0.00	0.04	0.00	0.41	0.00	0.59	0.00	1.00	1.00
Новорос	3	3	6	6	2	33.33	33.33	33.33	33.33	0.04	0.00	0.07	0.00	0.56	0.00	0.44	0.00	1.00	1.00
мещер	0	0	2	2	0	0.00	0.00	0.00	0.00	0.00	0.00	0.09	0.00	0.00	0.00	0.00	0.00	1.00	1.00
полторушка	2	2	1	1	3	66.67	66.67	100.00	100.00	0.00	0.00	0.00	0.00	0.47	0.00	0.53	0.00	1.00	1.00
кеч	0	0	27	27	32	0.00	0.00	0.00	0.00	0.00	0.00	0.59	0.10	0.00	0.00	0.00	0.00	1.00	1.00
горбовик	1	1	0	0	0	100.00	100.00	100.00	100.00	0.03	0.00	0.00	0.00	inf	0.00	0.00	0.00	0.00	1.00
свороток	4	4	8	8	4	33.33	33.33	50.00	50.00	0.28	0.00	0.03	0.00	9.38	0.00	0.05	0.00	0.25	1.00
порато	0	0	3	3	1	0.00	0.00	0.00	0.00	0.00	0.00	0.06	0.00	0.00	0.00	0.00	0.00	1.00	1.00
расколотка	0	0	3	3	0	0.00	0.00	0.00	0.00	0.00	0.00	0.02	0.00	0.00	0.00	0.00	0.00	1.00	1.00
бендёга	0	0	4	4	0	0.00	0.00	0.00	0.00	0.00	0.00	0.15	0.00	0.00	0.00	0.00	0.00	1.00	1.00
многоквартирник	3	3	5	5	0	37.50	37.50	42.86	42.86	0.03	0.00	0.06	0.00	0.52	0.00	0.48	0.00	1.00	1.00
блондиться	1	1	2	2	4	33.33	33.33	33.33	33.33	0.03	0.00	0.03	0.00	1.04	0.00	0.00	0.00	0.00	1.00
перетяг	0	0	4	4	2	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.00	0.00	0.00	0.00	0.00	1.00	1.00
харыпка	0	0	1	1	0	0.00	0.00	0.00	0.00	0.00	0.00	0.07	0.00	0.00	0.00	0.00	0.00	1.00	1.00
водогрей	0	0	5	5	16	0.00	0.00	0.00	0.00	0.00	0.00	0.02	0.00	0.00	0.00	0.00	0.00	1.00	1.00
вимба	0	0	3	3	4	0.00	0.00	0.00	0.00	0.00	0.00	0.43	0.00	0.00	0.00	0.00	0.00	1.00	1.00
чойс	0	0	12	12	15	0.00	0.00	0.00	0.00	0.00	0.00	0.04	0.00	0.00	0.00	0.00	0.00	1.00	1.00
полоротство	1	1	0	0	1	100.00	100.00	100.00	100.00	0.03	0.00	0.00	0.00	inf	0.00	0.00	0.00	0.00	1.00
бичара	3	3	14	14	14	17.65	17.65	21.43	21.43	0.04	0.00	0.04	0.00	1.10	0.00	0.14	0.00	0.33	1.00
тулик	0	0	2	2	0	0.00	0.00	0.00	0.00	0.00	0.00	0.03	0.00	0.00	0.00	0.00	0.00	1.00	1.00
шаварма	0	0	21	21	13	0.00	0.00	0.00	0.00	0.00	0.00	0.18	0.00	0.00	0.00	0.00	0.00	1.00	1.00
